author,text
bibhutibhushan bandopadhyay,"জগতের যে পথে সভ্য মানুষের চলাচল কম, কত অদ্ভুত জীবনধারার স্রোত আপন মনে উপলবিকীর্ণ অজানা নদীখাত দিয়া ঝিরঝির করিয়া বহিয়া চলে সে পথে, তাহাদের সহিত পরিচয়ের স্মৃতি আজও ভুলিতে পারি নাই৷ কিন্তু আমার এ স্মৃতি আনন্দের নয়, দুঃখের"
bibhutibhushan bandopadhyay,"এই স্বচ্ছন্দ প্রকৃতির লীলাভূমি আমার হাতেই বিনষ্ট হইয়াছিল, বনের দেবতারা সেজন্য আমায় কখনো ক্ষমা করিবেন না জানি"
bibhutibhushan bandopadhyay,নিজের অপরাধের কথা নিজের মুখে বলিলে অপরাধের ভার শুনিয়াছি লঘু হইয়া যায়
bibhutibhushan bandopadhyay,তাই এই কাহিনীর অবতারণা প্রথম পরিচ্ছেদ পনের-ষোল বছর আগেকার বি এ পাশ করিয়া কলিকাতায় বসিয়া আছি
bibhutibhushan bandopadhyay,বহু জায়গায় ঘুরিয়াও চাকুরি মিলিল না
bibhutibhushan bandopadhyay,"মেসে অনেকদিন ধরিয়া আছি তাই নিতান্ত তাড়াইয়া দেয় না, কিন্তু তাগাদার উপর তাগাদা দিয়া মেসের ম্যানেজার অস্থির করিয়া তুলিয়াছে"
bibhutibhushan bandopadhyay,"মেসে প্রতিমা গড়াইয়া পূজা হইতেছে- ধুমধামও মন্দ নয়, সকালে উঠিয়া ভাবিতেছি আজ সব বন্ধ, দু-একটা জায়গায় একটু আশা দিয়াছিল, তা আজ আর কোথাও যাওয়া কোন কাজের হইবে না, বরং তার চেয়ে ঘুরিয়া ঘুরিয়া ঠাকুর দেখিয়া বেড়াই"
bibhutibhushan bandopadhyay,মেসের চাকর জগন্নাথ এমন সময় একটুকরা কাগজ হাতে দিয়া গেল
bibhutibhushan bandopadhyay,পড়িয়া দেখিলাম ম্যানেজারের লেখা তাগাদার চিঠি
bibhutibhushan bandopadhyay,"আজ মেসে পূজা-উপলক্ষে ভালো খাওয়া-দাওয়ার ব্যবস্থা হইয়াছে, আমার কাছে দু-মাসের টাকা বাকী, আমি যেন চাকরের হাতে অন্তত দশটি টাকা দিই"
bibhutibhushan bandopadhyay,অন্যথা কাল হইতে খাওয়ার জন্য আমাকে অন্যত্র ব্যবস্থা করিতে হইবে
bibhutibhushan bandopadhyay,"কথা খুব ন্যায্য বটে, কিন্তু আমার সম্বল মোটে দুটি টাকা আর কয়েক আনা পয়সা"
bibhutibhushan bandopadhyay,কোন জবাব না দিয়াই মেস হইতে বাহির হইলাম
bibhutibhushan bandopadhyay,"পাড়ার নানা স্থানে পূজার বাজনা বাজিতেছে, ছেলেমেয়েরা গলির মোড়ে দাঁড়াইয়া গোলমাল করিতেছে, অভয় ময়রার খাবারের দোকানে অনেক রকম নতুন খাবার থালায় সাজানো-বড়রাস্তার ওপারে কলেজ হোস্টেলের ফটকে নহবৎ বসিয়াছে"
bibhutibhushan bandopadhyay,বাজার হইতে দলে দলে লোক ফুলের মালা ও পূজার উপকরণ কিনিয়া ফিরিতেছে
bibhutibhushan bandopadhyay,"আজ এক বছরের উপর হইল জোড়াসাঁকো স্কুলের চাকুরি ছাড়িয়া দিয়া বসিয়া আছি- অথবা বসিয়া ঠিক নাই, চাকুরির খোঁজে হেন মার্চেন্ট আপিস নাই, হেন স্কুল নাই, হেন খবরের কাগজের আপিস নাই, হেন বড়লোকের বাড়ি নাই- যেখানে অন্তত দশ বার না হাঁটাহাঁটি করিয়াছি, সকলেরই এক কথা, চাকুরি খালি নাই৷ হঠাৎ পথে সতীশের সঙ্গে দেখা"
bibhutibhushan bandopadhyay,সতীশের সঙ্গে হিন্দু হোস্টেলে একসঙ্গে থাকিতাম
bibhutibhushan bandopadhyay,"বর্তমানে সে আলীপুরের উকীল, বিশেষ কিছু হয় বলিয়া মনে হয় না, বালিগঞ্জের ওদিকে কোথায় একটা টিউশনি আছে, সেটাই সংসারসমুদ্রে বর্তমানে তাহার পক্ষে ভেলার কাজ করিতেছে"
bibhutibhushan bandopadhyay,"আমার ভেলা তো দূরের কথা, একখানা মাস্তুল-ভাঙ্গা কাঠও নাই, যতদূর হাবুডুবু খাইবার তাহা খাইতেছি- সতীশকে দেখিয়া সে কথা আপাতত ভূলিয়া গেলাম"
bibhutibhushan bandopadhyay,"ভুলিয়া গেলাম তাহার আর একটা কারণ, সতীশ বলিল--এই যে, কোথায় চলেছ সত্যচরণ"
bibhutibhushan bandopadhyay,চল হিন্দু হোস্টেলের ঠাকুর দেখে আসি- আমাদের পুরনো জায়গাটা
bibhutibhushan bandopadhyay,আর ওবেলা বড় জল্সা হবে-- এসো
bibhutibhushan bandopadhyay,"ওয়ার্ড সিক্সের সেই অবিনাশকে মনে আছে, সেই যে ময়মনসিংহের কোন্ জমিদারের ছেলে, সে যে আজকাল বড় গায়ক"
bibhutibhushan bandopadhyay,"সে গান গাইবে, আমায় আবার একখানা কার্ড দিয়েছে- - তাদের এস্টেটের দু- একটা কাজকর্ম মাঝে মাঝে করি কিনা"
bibhutibhushan bandopadhyay,"এসো, তোমায় দেখলে সে খুশী হবে"
bibhutibhushan bandopadhyay,"কলেজে পড়িবার সময়, আজ পাঁচ-ছয় বছর আগে, আমোদ পাইলে আর কিছু চাহিতাম না- এখনও সে মনের ভাব কাটে নাই দেখিলাম"
bibhutibhushan bandopadhyay,হিন্দু হোস্টেলে ঠাকুর দেখিতে গিয়া সেখানে মধ্যাহ্ন-ভোজনের নিমন্ত্রণ পাইলাম
bibhutibhushan bandopadhyay,"কারণ আমাদের দেশের অনেক পরিচিত ছেলে এখানে থাকে, তাহারা কিছুতেই আসিতে দিতে চাহিল না"
bibhutibhushan bandopadhyay,"বলিলাম-বিকেলে জল্সা হবে, তা এখন কি"
bibhutibhushan bandopadhyay,মেস থেকে খেয়ে আসব এখন
bibhutibhushan bandopadhyay,তাহারা সে কথায় কর্ণপাত করিল না
bibhutibhushan bandopadhyay,কর্ণপাত করিলে আমাকে সরস্বতী-পূজার দিনটা উপবাসে কাটাইতে হইত
bibhutibhushan bandopadhyay,ম্যানেজারের অমন কড়া চিঠির পরে আমি গিয়া মেসের লুচি পায়েসের ভোজ খাইতে পারিতাম একটা টাকাও দিই নাই
bibhutibhushan bandopadhyay,বেশ হইল-পেট ভরিয়া নিমন্ত্রণ খাইয়া বৈকালে জল্সার আসরে গিয়া বসিলাম
bibhutibhushan bandopadhyay,"আবার তিন বৎসর পূর্বের ছাত্র-জীবনের উল্লাস ফিরিয়া আসিল--কে মনে রাখে চাকুরি পাইলাম কি না-পাইলাম, মেসের ম্যানেজার মুখ হাঁড়ি করিয়া বসিয়া আছে কি না-আছে"
bibhutibhushan bandopadhyay,হুংরি ও কীর্তনের সমুদ্রে তলাইয়া গিয়া ভুলিয়া গেলাম যে দেনা মিটাইতে না পারিলে কাল সকাল হইতে বায়ুভক্ষণের ব্যবস্থা হইবে
bibhutibhushan bandopadhyay,জলসা যখন ভাঙ্গিল তখন রাত এগারটা
bibhutibhushan bandopadhyay,"অবিনাশের সঙ্গে আলাপ হইল, হিন্দু হোস্টেলে থাকিবার সময় সে আর আমি ডিবেটিং ক্লাবের চাঁই ছিলাম-- একবার স্যর গুরুদাস বন্দ্যোপাধ্যায়কে আমরা সভাপতি করিয়াছিলাম"
bibhutibhushan bandopadhyay,"বিষয় ""স্কুল-কলেজে বাধ্যতামূলক ধর্মশিক্ষা প্রবর্তন করা উচিত"""
bibhutibhushan bandopadhyay,অবিনাশ প্রস্তাবকর্তা আমি প্রতিবাদী - পক্ষের নায়ক উভয় পক্ষের তুমুল তর্কের পরে সভাপতি আমাদের পক্ষে মত দিলেন
bibhutibhushan bandopadhyay,সেই হইতে অবিনাশের সঙ্গে খুব বন্ধুত্ব হইয়া যায়-যদিও কলেজ হইতে বাহির হইয়া এই প্রথম আবার তার সঙ্গে দেখাসাক্ষাৎ
bibhutibhushan bandopadhyay,"অবিনাশ বলিল-চল, আমার গাড়ী রয়েছে--তোমাকে পৌঁছে দিই"
bibhutibhushan bandopadhyay,"আরণ্যক মেসের দরজায় নামাইয়া দিয়া বলিল--শোন, কাল হ্যারিংটন স্ট্রীাটে আমার বাড়ীতে চা খাবে বিকেল চারটের সময়"
bibhutibhushan bandopadhyay,"পরদিন খুঁজিয়া হ্যারিংটন স্ট্রীট বাহির করিলাম, বন্ধুর বাড়ীও বাহির করিলাম"
bibhutibhushan bandopadhyay,"বাড়ী খুব বড় নয়, তবে সামনে পিছনে বাগান"
bibhutibhushan bandopadhyay,"গেটে উইস্টারিয়া লতা, নেপালী দারোয়ান, ও পিতলের প্লেট"
bibhutibhushan bandopadhyay,"লাল সুরকির বাঁকা রাস্তা- রাস্তার এক ধারে সবুজ ঘাসের লন, অন্য ধারে বড় বড় মুচুকুন্দ চাঁপা ও আমগাছ"
bibhutibhushan bandopadhyay,গাড়ীবারান্দায় বড় একখানা মোটর গাড়ী
bibhutibhushan bandopadhyay,বড়লোকের বাড়ী নয় বলিয়া ভুল করিবার কোন দিক হইতে কোন উপায় নাই
bibhutibhushan bandopadhyay,সিঁড়ি দিয়া উপরে উঠিয়াই বসিবার ঘর
bibhutibhushan bandopadhyay,অবিনাশ আসিয়া আদর করিয়া ঘরে বসাইল এবং প্রায় সঙ্গে সঙ্গেই পুরাতন দিনের কথাবার্তায় আমরা দু'জনেই মশগুল হইয়া গেলাম
bibhutibhushan bandopadhyay,"অবিনাশের বাবা ময়মনসিংহের একজন বড় জমিদার, কিন্তু সম্প্রতি কলিকাতার বাড়ীতে তাঁহারা কেহই নাই"
bibhutibhushan bandopadhyay,অবিনাশের এক ভর্মীর বিবাহ উপলক্ষে গত অগ্রহায়ণ মাসে দেশে গিয়াছিলেন-এখনও কেহই আসেন নাই
bibhutibhushan bandopadhyay,এ-কথা ও-কথার পর অবিনাশ বলিল--এখন কি করছ সত্য
bibhutibhushan bandopadhyay,"বলিলাম--জোড়াসাঁকো স্কুলে মাস্টারী করতুম, সম্প্রতি বসেই আছি একরকম"
bibhutibhushan bandopadhyay,ভাবছি আর মাস্টারী করব না
bibhutibhushan bandopadhyay,দেখছি অন্য কোনো দিকে যদি- দু-এক জায়গায় আশাও পেয়েছি
bibhutibhushan bandopadhyay,"আশা পাওয়ার কথা সত্য নয়, কিন্তু অবিনাশ বড়লোকের ছেলে, এস্টেট ওদের তাহার কাছে চাকুরির উমেদারী করিতেছি এটা না--দেখায়, তাই কথাটা বলিলাম"
bibhutibhushan bandopadhyay,অবিনাশ একটুখানি ভাবিয়া বলিল--তোমার মত একজন উপযুক্ত লোকের চাকুরি পেতে দেরী হবে না অবিশ্যি
bibhutibhushan bandopadhyay,"আমার একটা কথা আছে, তুমি তো আইনও পড়েছিলে- না"
bibhutibhushan bandopadhyay,"বলিলাম-পাসও করেছি, কিন্তু ওকালতি করবার মতিগতি নেই"
bibhutibhushan bandopadhyay,অবিনাশ বলি- আমাদের একটা জঙ্গল-মহাল আছে পূর্ণিয়া জেলায়
