author,text
tagore,"সূচনা আমার সাহিত্যের পথযাত্রা পূর্বাপর অনুসরণ করে দেখলে ধরা পড়বে যে চোখের বালি উপন্যাসটা আকস্মিক, কেবল আমার মধ্যে নয়, সেদিনকার বাংলা সাহিত্যক্ষেত্রে"
tagore,"বাইরে থেকে কোন্ ইশারা এসেছিল আমার মনে, সে প্রশ্নটা দুরূহ"
tagore,সব চেয়ে সহজ জবাব হচ্ছে ধারাবাহিক লম্বা গল্পের উপর মাসিক পত্রের চিরকেলে দাবি নিয়ে
tagore,বঙ্গদর্শনের নবপর্যায় বের করলেন শ্রীশচন্দ্র
tagore,"আমার নাম যোজনা করা হল, তাতে আমার প্রসন্ন মনের সমর্থন ছিল না"
tagore,"কোনো পূর্বতন খ্যাতির উত্তরাধিকার গ্রহণ করা সংকটের অবস্থা, আমার মনে এ সম্বন্ধে যথেষ্ট সংকোচ ছিল"
tagore,"কিন্তু আমার মনে উপরোধ- অনুরোধের দ্বন্দ যেখানেই ঘটেছে সেখানে প্রায়ই আমি জয়লাভ করতে পারি নি, এবারেও তাই হল"
tagore,আমরা একদা বঙ্গদর্শনে বিষবৃক্ষ উপন্যাসের রস সম্ভোগ করেছি
tagore,তখনকার দিনে সে রস ছিল নতুন
tagore,পরে সেই বঙ্গদর্শনকে নবপর্যায়ে টেনে আনা যেতে পারে কিন্তু সেই প্রথম পালার পুনরাবৃত্তি হতে পারে না
tagore,"সেদিনের আসর ভেঙে গেছে, নতুন সম্পাদককে রাস্তার মোড় ফেরাতেই হবে"
tagore,"সহ- সম্পাদক শৈলেশের বিশ্বাস ছিল, আমি এই মাসিকের বর্ষব্যাপী ভোজে গল্পের পুরো পরিমাণ জোগান দিতে পারি"
tagore,অতএব কোমর বাঁধতে হবে আমাকে
tagore,যেন মাসিকের দেওয়ানি আইন- অনুসারে সম্পাদকের কাছ থেকে উপযুক্ত খোরপোশের দাবি করা
tagore,বস্তুত ফরমাশ এসেছিল বাইরে থেকে
tagore,এর পূর্বে মহাকায় গল্প সৃষ্টিতে হাত দিই নি
tagore,"ঠিক করতে হল, এবারকার গল্প বানাতে হবে এ যুগের কারখানা- ঘরে"
tagore,"শয়তানের হাতে চাষ তখনো হত এখনো হয়, তবে কিনা তার আলাদা, অন্তত গল্পের এলাকার মধ্যে"
tagore,"এখনকার ছবি খুব স্পষ্ট, সাজসজ্জায় অলংকারে তাকে আচ্ছন্ন করলে তাকে ঝাপসা করে দেওয়া হয়, তার আধুনিক স্বভাব হয় নষ্ট"
tagore,তাই গল্পের আবদার যখন এড়াতে পারলুম না তখন নামতে হল মনের সংসারের সেই কারখানা- ঘরে যেখানে আগুনের হাতুড়ির পিটুনি থেকে দৃঢ় ধাতুর মূর্তি জেগে উঠতে থাকে
tagore,মানববিধাতার এই নির্মম সৃষ্টিপ্রক্রিয়ার বিবরণ তার পূর্বে গল্প অবলম্বন করে বাংলা ভাষায় আর প্রকাশ পায় নি
tagore,"তার পরে এ পর্দার বাইরেকার সদর রাস্তাতেই ক্রমে ক্রমে দেখা দিয়েছে গোরা, ঘরে- বাইরে, চতুরঙ্গ"
tagore,"শুধু তাই নয়, ছোটো গল্পের পরিকল্পনায় আমার লেখনী সংসারের রূঢ় স্পর্শ এড়িয়ে যায় নি"
tagore,"নষ্টনীড় বা শাস্তি, এরা নির্মম সাহিত্যের পর্যায়েই পড়বে"
tagore,তার পরে পলাতকার কবিতাগুলির মধ্যেও সংসারের সঙ্গে সেই মোকাবিলার আলাপ চলেছে
tagore,"বঙ্গদর্শনের নবপর্যায় এক দিকে তখন আমার মনকে রাষ্ট্রনেতিক সমাজনৈতিক চিন্তার আবর্তে টেনে এনেছিল, আর- এক দিকে এনেছিল গল্পে, এমন- কি কাব্যেও, মানব চরিত্রের কঠিন সংস্পর্শে অল্পে অল্পে এর শুরু হয়েছিল সাধনার যুগেই, তারপরে সবুজপত্র পসরা জমিয়েছিল"
tagore,চোখের বালির গল্পকে ভিতর থেকে ধাক্কা দিয়ে দারুণ করে তুলেছে মায়ের ঈর্ষা
tagore,"এই ঈর্ষা মহেন্দ্রের সেই রিপুকে কুৎসিত অবকাশ দিয়েছে যা সহজ অবস্থায় এমন করে দাত- নখ বের করত যেন পণশুশালার দরজা খুলে দেওয়া হল, বেরিয়ে পড়ল হিংস্র ঘটনাগুলো অসংযত হয়ে"
tagore,"সাহিত্যের নবপর্যায়ের পদ্ধতি হচ্ছে ঘটনা পরম্পরার বিবরণ দেওয়া নয়, বিশ্লেষণ করে তাদের আঁতের কথা বের করে দেখানো"
tagore,সেই দেখা দিল চোখের বালিতে বৈশাখ পৃষ্ঠা অধ্যায় - বিনোদিনীর মাতা হরিমতি মহেন্দ্রের মাতা রাজলম্ম্মীর কাছে আসিয়া দিয়া পড়িল
tagore,"দুই জনেই এক গ্রামের মেয়ে, বাল্যকালে একত্রে খেলা করিয়াছেন"
tagore,"রাজলম্দ্মী মহেন্দ্রকে ধরিয়া পড়িলেন, বাবা মহিন, গরিবের মেয়েটিকে উদ্ধার করিতে হইবে"
tagore,"শুনিয়াছি মেয়েটি বড়ো সুন্দরী, আবার মেমের কাছে পড়াশুনাও করিয়াছে- তোদের আজকালকার পছন্দর সঙ্গে মিলিবে"
tagore,"মহেন্দ্র কহিল, মা, আজকালকার ছেলে তো আমি ছাড়াও আরো ঢের আছে"
tagore,"মহিন, এঁ তোর দোষ, তোর কাছে বিয়ের কথাটি পাড়িবার জো নাই"
tagore,"মা , ও কথাটা বাদ দিয়াও সংসারে কথার অভাব হয় না"
tagore,অতএব ওটা মারাত্মক দোষ মহেন্দ্র শেশবেই পিতৃহীন
tagore,মা- সম্বন্ধে তাহার ব্যবহার সাধারণ লোকের মতো ছিল না
tagore,"বয়স প্রায় বাইশ হইল, এম এ পাস করিয়া ডাক্তারি পড়িতে আরম্ভ করিয়াছে, তবু মাকে লইয়া তাহার প্রতিদিন মান- অভিমান আদর- আবদারের অন্ত ছিল না"
tagore,কাঙারু- শাবকের মতো মাতৃগর্ভ হইতে ভূমিষ্ঠ হইয়াও মাতার বরিগর্ভের থলিটির মধ্যে আবৃত থাকাই তাহার অভ্যাস হইয়া গিয়াছিল
tagore,মার সাহায্য ব্যতীত তাহার আহার বিহার আরাম বিরাম কিছুই সম্পন্ন হইবার জো ছিল না
tagore,"এবারে মা যখন বিনোদিনীর জন্য তাহাকে অত্যন্ত ধরিয়া পড়িলেন, তখন মহেন্দ্র বলিল, আচ্ছা, কন্যাটি একবার দেখিয়া আসি দেখিতে যাইবার দিন বলিল, দেখিয়া আর কী হইবে৷ তোমাকে খুশি করিবার জন্য বিবাহ করিতেছি, ভালোমন্দ বিচার মিথ্যা"
tagore,"কথাটার মধ্যে একটু রাগের উত্তাপ ছিল, কিন্তু মা ভাবিলেন, শুভদৃষ্টির সময় তাহার পছন্দর সহিত যখন পুত্রের পছন্দর নিশ্চয় মিল হইবে তখন মহেন্দ্রের কড়ি- সুর কোমল হইয়া আসিবে"
tagore,নিশ্চিন্তচিত্তে বিবাহের দিন স্থির করিলেন
tagore,"দিন যত নিকটে আসিতে লাগিল, মহেন্দ্রের মন ততই উৎকণ্ঠিত হইয়া উঠিল- অবশেষে দুই- চার দিন আগে সে বলিয়া বসিল, না মা, আমি কিছুতেই পারিব না"
tagore,"বাল্যকাল হইতে মহেন্দ্র দেবতা ও মানবের কাছে সর্বপ্রকারে প্রশ্রয় পাইয়াছে, এইজন্য তাহার ইচ্ছার বেগ উচ্ছৃঙ্খল"
tagore,পরের ইচ্ছার চাপ সে সহিতে পারে না
tagore,তাহাকে নিজের প্রতিজ্ঞা এবং পরের অনুরোধ একান্ত বাধ্য করিয়া তুলিয়াছে বলিয়াই বিবাহ-প্রস্তাবের প্রতি তাহার অকারণ বিতৃষ্ণা অত্যন্ত বাড়িয়া উঠিল এবং আসন্নকালে সে একেবারেই বিমুখ হইয়া বসিল
tagore,মহেন্দ্রের পরম বন্ধু ছিল বিহারী; সে মহেন্দ্রকে দাদা এবং মহেন্দ্রের মাকে মা বলিত
tagore,মা তাহাকে স্টামবোটের পশ্চাতে আবদ্ধ গাধাবোটের মতো মহেন্দ্রের একটি আবশ্যক ভারবহ আসবাবের স্বরূপ পৃষ্ঠা দেখিতেন ও সেই হিসাবে মমতাও করিতেন
